Province,District,Chiefdom,Household Total,Household Male,Household Female,Special Population Total,Special Population Male,Special Population Female,Total,Male,Female
Northern,Tonkolili,Sambaya.............,"22,728","10,479","12,249",-,-,-,"22,728","10,479","12,249"
Northern,Tonkolili,Tane................,"22,242","10,318","11,924",-,-,-,"22,242","10,318","11,924"
Northern,Tonkolili,Yoni................,"87,366","40,310","47,056",261,151,110,"87,627","40,461","47,166"
Northern,Tonkolili,Total...........,"346,456","161,347","185,109",741,472,269,"347,197","161,819","185,378"
Southern,Bo,Badjia..............,"7,688","3,705","3,983",10,8,2,"7,698","3,713","3,985"
Southern,Bo,Bagbo...............,"21,887","10,593","11,294","2,947","1,462","1,485","24,834","12,055","12,779"
Southern,Bo,Bagbwe..............,"10,904","5,095","5,809",-,-,-,"10,904","5,095","5,809"
Southern,Bo,Baoma...............,"44,211","22,969","21,242","6,726","3,337","3,389","50,937","26,306","24,631"
Southern,Bo,Bumpe Ngawo.........,"35,642","17,129","18,513",-,-,-,"35,642","17,129","18,513"
Southern,Bo,Gbo.................,"5,050","2,314","2,736",-,-,-,"5,050","2,314","2,736"
Southern,Bo,Jaiama-Bongor.......,"26,067","12,708","13,359",-,-,-,"26,067","12,708","13,359"
Southern,Bo,Kakua...............,"29,174","13,968","15,206",596,558,38,"29,770","14,526","15,244"
Southern,Bo,Komboya.............,"15,616","7,544","8,072",-,-,-,"15,616","7,544","8,072"
Southern,Bo,Lugbu...............,"23,639","12,184","11,455",-,-,-,"23,639","12,184","11,455"
Southern,Bo,Niawa Lenga.........,"11,109","5,214","5,895",-,-,-,"11,109","5,214","5,895"
Southern,Bo,Selenga.............,"5,412","2,556","2,856",-,-,-,"5,412","2,556","2,856"
Southern,Bo,Tikonko.............,"36,223","18,306","17,917","3,176","1,612","1,564","39,399","19,918","19,481"
Southern,Bo,Valunia.............,"17,741","8,691","9,050",-,-,-,"17,741","8,691","9,050"
Southern,Bo,Wunde...............,"9,893","4,795","5,098",-,-,-,"9,893","4,795","5,098"
Southern,Bo,Bo Town.............,"148,705","71,774","76,931","1,252",977,275,"149,957","72,751","77,206"
Southern,Bo,Total...........,"448,961","219,545","229,416","14,707","7,954","6,753","463,668","227,499","236,169"
Southern,Bonthe,Bendu Cha...........,"4,680","2,293","2,387",-,-,-,"4,680","2,293","2,387"
Southern,Bonthe,Bum.................,"18,827","9,060","9,767",-,-,-,"18,827","9,060","9,767"
Southern,Bonthe,Dema................,"5,301","2,555","2,746",-,-,-,"5,301","2,555","2,746"
Southern,Bonthe,Imperi..............,"17,547","8,694","8,853",29,29,-,"17,576","8,723","8,853"
Southern,Bonthe,Jong................,"28,455","13,600","14,855",40,10,30,"28,495","13,610","14,885"
Southern,Bonthe,Kpanga Kemo.........,"7,661","3,688","3,973",-,-,-,"7,661","3,688","3,973"
Southern,Bonthe,Kwamebai Krim.......,"7,715","3,685","4,030",-,-,-,"7,715","3,685","4,030"
Southern,Bonthe,,,,,,,,,,
Southern,Bonthe,Nongoba Bullom......,"13,617","6,559","7,058",-,-,-,"13,617","6,559","7,058"
Southern,Bonthe,Sittia..............,"13,449","6,295","7,154",-,-,-,"13,449","6,295","7,154"
Southern,Bonthe,Sogbini.............,"7,853","3,734","4,119",-,-,-,"7,853","3,734","4,119"
Southern,Bonthe,Yawbeko.............,"4,773","2,354","2,419",-,-,-,"4,773","2,354","2,419"
Southern,Bonthe,Bonthe Town.........,"9,727","4,540","5,187",13,6,7,"9,740","4,546","5,194"
Southern,Bonthe,Total...........,"139,605","67,057","72,548",82,45,37,"139,687","67,102","72,585"
Southern,Moyamba,Bagruwa.............,"18,989","8,974","10,015",-,-,-,"18,989","8,974","10,015"
Southern,Moyamba,Bumpeh..............,"32,363","15,172","17,191",-,-,-,"32,363","15,172","17,191"
Southern,Moyamba,Dasse...............,"10,879","5,082","5,797",-,-,-,"10,879","5,082","5,797"
Southern,Moyamba,Fakunya.............,"22,327","10,548","11,779",-,-,-,"22,327","10,548","11,779"
Southern,Moyamba,Kagboro.............,"31,150","14,906","16,244",-,-,-,"31,150","14,906","16,244"
Southern,Moyamba,Kaiyamba............,"21,380","9,960","11,420",289,250,39,"21,669","10,210","11,459"
Southern,Moyamba,Kamajei.............,"8,549","3,974","4,575",-,-,-,"8,549","3,974","4,575"
Southern,Moyamba,Kongbora............,"11,325","5,536","5,789",6,5,1,"11,331","5,541","5,790"
Southern,Moyamba,Kori................,"26,934","12,747","14,187","2,109","1,060","1,049","29,043","13,807","15,236"
Southern,Moyamba,Kowa................,"7,082","3,279","3,803",-,-,-,"7,082","3,279","3,803"
Southern,Moyamba,Lower Banta.........,"25,954","12,369","13,585",-,-,-,"25,954","12,369","13,585"
Southern,Moyamba,Ribbi...............,"25,163","11,792","13,371",-,-,-,"25,163","11,792","13,371"
Southern,Moyamba,Timdale.............,"8,192","3,940","4,252",-,-,-,"8,192","3,940","4,252"
Southern,Moyamba,Upper Banta.........,"8,219","4,087","4,132",-,-,-,"8,219","4,087","4,132"
Southern,Moyamba,Total...........,"258,506","122,366","136,140","2,404","1,315","1,089","260,910","123,681","137,229"
Southern,Pujehun,Barri...............,"32,245","15,714","16,531",-,-,-,"32,245","15,714","16,531"
Southern,Pujehun,Gallinas Peri.......,"27,072","13,016","14,056",-,-,-,"27,072","13,016","14,056"
Southern,Pujehun,Kpaka...............,"12,827","5,987","6,840",-,-,-,"12,827","5,987","6,840"
Southern,Pujehun,Kpanga-Kabonde......,"32,615","15,647","16,968",655,537,118,"33,270","16,184","17,086"
Southern,Pujehun,Makpele.............,"21,947","10,700","11,247",8,6,2,"21,955","10,706","11,249"
Southern,Pujehun,Malen...............,"22,090","11,089","11,001",-,-,-,"22,090","11,089","11,001"
Southern,Pujehun,Mano Sakrim.........,"7,536","3,577","3,959",-,-,-,"7,536","3,577","3,959"
