"Province","District","Chiefdom","Household.Total","Household.Male","Household.Female","Special.Population.Total","Special.Population.Male","Special.Population.Female","Total","Male","Female"
"Western","Rural","Waterloo","76323","36393","39930","1468","1122","346","77791","37515","40276"
"Western","Rural","York Rural","61623","30707","30916","1914","1406","508","63537","32113","31424"
"Western","Rural","Total","169807","82643","87164","4442","3451","991","174249","86094","88155"
"Western","Urban","Central 1","49370","24835","24535","901","628","273","50271","25463","24808"
"Western","Urban","Central 2","19886","10043","9843","249","140","109","20135","10183","9952"
"Western","Urban","East 1","54554","26761","27793","612","397","215","55166","27158","28008"
"Western","Urban","East 2","79892","39754","40138","42","37","5","79934","39791","40143"
"Western","Urban","East 3","315033","154360","160673","1376","861","515","316409","155221","161188"
"Western","Urban","West 1","46127","22741","23386","192","109","83","46319","22850","23469"
"Western","Urban","West 2","88532","43825","44707","2813","1832","981","91345","45657","45688"
"Western","Urban","West 3","111090","55642","55448","2204","1613","591","113294","57255","56039"
"Western","Urban","Total","764484","377961","386523","8389","5617","2772","772873","383578","389295"
